번호,식품명,주재료,조리법,추천태그,이미지태그,지도검색어,description,ingredient,recipe,source,original name
351,매운돈까스,"돼지고기, 밀가루, 고추가루",튀김,"#일식, #한끼, #음식점, #배달, #그룹",#돈까스,돈까스,돈까스는 일본식으로 바삭하게 튀겨내고 매운 소스를 끼얹은 요리입니다.,"돼지고기 등심, 빵가루, 달걀, 밀가루, 튀김가루, 우스터소스, 케첩, 핫소스, 버터, 올리고당, 사과, 양파, 파프리카, 파인애플, 버섯, 브로콜리, 토마토, 돈가스소스, 마요네즈, 머스터드, 생크림, 파마산치즈가루, 모짜렐라치즈, 슬라이스치즈","돼지고기 등심은 칼등으로 두드려 넓게 편다. 돼지고기에 우스터소스, 케첩, 핫소스, 버터, 올리고당, 사과, 양파, 파프리카, 파인애플, 버섯, 브로콜리, 토마토, 돈가스소스, 마요네즈, 머스터드, 생크림, 파마산치즈가루, 모짜렐라치즈, 슬라이스치즈를 넣고 버무린다. 식빵은 믹서기에 곱게 갈아 빵가루를 만든다. 돼지고기에 밀가루, 달걀, 빵가루 순으로 튀김옷을 입혀 170°C로 예열된 기름에 튀긴다.",Clova AI, 
352,미소라멘,"밀면, 돼지고기, 물, 된장",끓이기,"#일식, #한끼, #음식점, #배달, #그룹",#라멘,라멘,일본식 된장인 미소를 이용해 만든 라멘입니다.,"생면, 돈코츠스프, 미소된장, 차슈, 달걀, 숙주, 실파, 다시마, 가쓰오부시, 혼다시, 간장, 맛술, 설탕, 소금, 후춧가루","생면은 끓는 물에 4분 정도 삶는다. 숙주는 씻어서 물기를 빼고, 실파는 송송 썬다. 냄비에 물과 다시마를 넣고 끓이다가 끓어오르면 가쓰오부시를 넣고 불을 끈다. 다시 불을 켜고 가쓰오부시가 가라앉으면 체에 걸러 육수를 만든다. 다른 냄비에 돈코츠스프와 미소된장을 넣고 풀어준 후, 간장, 맛술, 설탕, 소금, 후춧가루를 넣고 끓인다. 삶은 생면을 그릇에 담고 육수를 부은 후, 숙주와 실파, 차슈, 달걀을 올린다.",Clova AI, 
353,볶음우동,"밀면, 간장",볶음,"#일식, #한끼, #음식점, #배달, #그룹",#라멘,볶음우동,탱글탱글한 면발과 다양한 채소가 어우러진 볶음우동입니다.,"우동면, 당근, 양배추, 양파, 청피망, 홍피망, 새송이버섯, 다진마늘, 다시물, 다시마, 물, 양념장, 굴소스, 물엿, 식용유, 간장, 고춧가루"," [볶기]1. 청, 홍피망은 0.5 x 5cm 크기로 채썰어준다. 9.다진 마늘을 넣고 볶다가 양파, 새송이버섯,2. 양파는 5cm 길이로 두껍게 채썰어준다. 피망, 양배추를 넣고 볶아준다.3. 양배추는 5cm 길이로 채썰어준다. 10. 우동면, 볶은 야채, 소스를 넣고 볶아준다.4.새송이버섯은 0.5 x 5cm 크기로 채썰어준다.5. 우동면은 끓는 물에 1분 이내로(면이 풀릴정도) 살짝 데쳐낸다.[다시물 만들기]6. 물에 다시마를 넣고 5분간 끓여준다.7. 다시마는 건져내고 물은 따로 받아둔다.[양념장 만들기]8.다시물, 굴소스, 간장, 물엿, 고춧가루를 섞어소스를 만들어준다.사용조미료 : 굴소스, 물엿, 식용유, 고춧가루, 양조간장",팜킷,볶음우동
354,생선까스,"생선류, 밀가루",튀김,"#일식, #한끼, #음식점, #배달, #그룹",#돈까스,돈까스,흰살 생선을 튀겨낸 후 타르타르소스를 곁들인 요리입니다.,"동태포, 달걀, 빵가루, 밀가루, 튀김가루, 소금, 후추, 식용유, 타르타르소스","동태포는 해동시켜 물기를 제거한 후 소금, 후추를 뿌려 밑간한다. 쟁반에 밀가루, 달걀물, 빵가루를 각각 준비한다. 밑간한 동태포에 밀가루, 달걀물, 빵가루 순으로 튀김옷을 입힌다. 180°C로 예열한 기름에 튀긴다. 튀긴 생선까스를 접시에 담고 타르타르소스를 곁들인다.",Clova AI, 
355,소유라멘,"밀면, 돼지고기, 물, 간장",끓이기,"#일식, #한끼, #음식점, #배달, #그룹",#라멘,라멘,일본식 간장인 쇼유를 이용해 만든 라멘입니다.,"생면, 차슈, 달걀, 숙주, 대파, 다시마, 가쓰오부시, 간장, 맛술, 혼다시, 설탕, 소금, 후춧가루, 가다랑어포, 멸치, 디포리, 마른새우, 표고버섯, 물, 가스오부시, 실파","냄비에 물과 다시마를 넣고 끓이다가 끓어오르면 다시마를 건져낸다. 다시멸치, 디포리, 마른새우, 표고버섯을 넣고 끓여 육수를 만든다. 다른 냄비에 물을 끓이고 끓으면 생면을 넣고 삶는다. 삶은 면은 찬물에 헹구고 체에 밭쳐 물기를 뺀다. 숙주는 꼬리를 떼고, 대파는 가늘게 채 썬다. 달걀로 노른자와 흰자를 분리해서 각각 지단을 부친다. 깊은 팬에 육수를 붓고 간장, 맛술, 혼다시, 설탕, 소금, 후춧가루를 넣어 끓인다. 육수가 끓으면 거품을 걷어내고",Clova AI, 
356,연어초밥,"생선류, 밥, 식초",롤,"#일식, #한끼, #음식점, #배달",#초밥,초밥,연어살을 초밥용으로 손질하여 밥 위에 올려 만든 초밥입니다.,"훈제연어, 밥, 단촛물, 와사비, 양파, 케이퍼, 홀스래디쉬소스",훈제연어는 해동시켜 슬라이스 한다. 따뜻한 밥에 단촛물을 넣고 주걱을 세워 자르듯이 섞어가며 식혀준다. 손에 물을 묻혀가며 밥을 동그랗게 뭉쳐 모양을 잡는다. 뭉친 밥 위에 와사비를 바르고 슬라이스한 훈제연어를 올린다. 양파는 얇게 채 썰어 찬물에 담가 매운맛을 빼고 물기를 제거한다. 접시에 채 썬 양파를 깔고 그 위에 훈제연어를 올린 후 홀스래디쉬소스를 곁들인다.,Clova AI, 
357,옛날돈까스,"돼지고기, 밀가루",튀김,"#일식, #한끼, #음식점, #배달, #그룹",#돈까스,돈까스,두툼한 돈까스에 달콤한 소스를 끼얹은 추억의 경양식 돈까스입니다.,"돼지고기 등심, 달걀, 빵가루, 밀가루, 튀김가루, 버터, 우스터소스, 케첩, 마요네즈, 머스터드, 올리고당, 돈가스소스, 샐러드채소, 밥, 방울토마토, 옥수수콘, 피클, 단무지, 마카로니샐러드","돼지고기 등심은 칼등으로 두드려 넓게 편다. 쟁반에 밀가루, 달걀물, 빵가루를 각각 준비한다. 돼지고기 등심에 밀가루, 달걀물, 빵가루 순으로 묻힌다. 170°C로 예열한 기름에 튀김옷을 입힌 돼지고기를 넣고 튀긴다. 튀긴 돼지고기는 종이타올에 올려 기름기를 뺀다. 팬에 버터를 녹인 후 우스터소스, 케첩, 마요네즈, 머스터드, 올리고당을 넣고 끓여 소스를 만든다. 접시에 밥을 담고 양상추, 치커리, 적근대, 어린잎채소를 올린 후 방울토마토, 옥수수콘",Clova AI, 
358,우동(일식),"밀면, 간장, 멸치육수",끓이기,"#일식, #한끼",#냉면,우동,가쓰오부시 향이 진한 일본식 우동입니다.,"유부, 대파, 팽이버섯, 쑥갓, 우동면, 육 수, 멸치(육수용), 무(육수용), 다시마(육수용), 양파(육수용), 가쓰오부시, 쯔유, 소금, 물"," [끓이기]1. 유부는 끓는 물에 넣고 40초간 데친다. 10. 육수에 유부, 대파, 팽이버섯을 넣고2. 대파는 0.3cm 두께로 어슷 썬다. 3분간 끓인 후, 불을 끄고 쑥갓을 넣는다.3. 팽이버섯은 밑동을 제거 후, 4cm 길이로 썬다. 11. 쯔유와 소금을 넣어 간을 맞춘다.4. 쑥갓은 4cm 길이로 썬다. 12. 우동면은 끓는 물에 3분간 삶은 후,5. 무는 5 × 5 × 5cm 크기로 썬다. 체에 밭쳐 20초간 물기를 제거한다.6. 양파는 반으로 썬다. 13.그릇에 우동면을 담고 우동 국물을 붓는다.[육수내기]7. 물에 멸치, 무, 다시마, 양파를 넣고 센 불에서13분간 끓인다.8. 다시마는 건진 후, 불을 끄고 가쓰오부시를넣고 4분간 우린다.9. 육수는 체에 거른다.사용조미료 : 가쓰오부시, 꽃소금, 쯔유",팜킷,우동(일식)
359,일본식우동,"밀면, 간장, 물",끓이기,"#일식, #한끼, #음식점, #배달, #그룹",#냉면,우동,가쓰오부시 향이 가득한 시원한 국물 맛이 일품인 우동입니다.,"유부, 대파, 팽이버섯, 쑥갓, 우동면, 육 수, 멸치(육수용), 무(육수용), 다시마(육수용), 양파(육수용), 가쓰오부시, 쯔유, 소금, 물"," [끓이기]1. 유부는 끓는 물에 넣고 40초간 데친다. 10. 육수에 유부, 대파, 팽이버섯을 넣고2. 대파는 0.3cm 두께로 어슷 썬다. 3분간 끓인 후, 불을 끄고 쑥갓을 넣는다.3. 팽이버섯은 밑동을 제거 후, 4cm 길이로 썬다. 11. 쯔유와 소금을 넣어 간을 맞춘다.4. 쑥갓은 4cm 길이로 썬다. 12. 우동면은 끓는 물에 3분간 삶은 후,5. 무는 5 × 5 × 5cm 크기로 썬다. 체에 밭쳐 20초간 물기를 제거한다.6. 양파는 반으로 썬다. 13.그릇에 우동면을 담고 우동 국물을 붓는다.[육수내기]7. 물에 멸치, 무, 다시마, 양파를 넣고 센 불에서13분간 끓인다.8. 다시마는 건진 후, 불을 끄고 가쓰오부시를넣고 4분간 우린다.9. 육수는 체에 거른다.사용조미료 : 가쓰오부시, 꽃소금, 쯔유",팜킷,우동(일식)
360,초밥,"생선류, 쌀밥, 식초",롤,"#일식, #한끼, #음식점, #배달, #그룹",#초밥,초밥,"생선이나 조개류, 달걀, 채소 등을 얹어서 만드는 일본식 요리입니다.","멥쌀, 물, (붉은)참치살, 광어살, 도미살, 새우, 고추냉이, 배합초, 식초, 설탕, 소금","1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 불린 후 분량의 물을 부어 밥을 짓는다.(센불 5분, 약불 7분, 불을 끄고 5분간 뜸들임) 2. 참치, 광어, 도미살은 8 × 3 × 0.5cm 두께로 썬다. 3. 새우는 끓는 물에 3분간 삶은 후, 껍질을 제거하고 배쪽을 갈라 반으로 핀다. [배합초 만들기] 4. 식초, 설탕, 소금을 섞어 3분간 끓여준다.[초밥 만들기] 5. 밥에 배합초를 넣고 20번 섞는다. 6. 밥을 14g씩 떠서 초밥모양을 만든 후, 밥 위에 고추냉이를 얹은 후 생선살을 하나씩 올린다.사용조미료 : 고추냉이, 양조식초, 백설탕, 꽃소금",팜킷,생선모듬초밥
361,치즈돈까스,"돼지고기, 밀가루, 치즈",튀김,"#일식, #한끼, #음식점, #배달",#돈까스,돈까스,돈까스 안에 치즈를 넣어 튀긴 요리입니다.,"돼지고기 등심, 모짜렐라 치즈, 빵가루, 달걀, 밀가루, 튀김가루, 식용유, 소금, 후추","돼지고기 등심은 칼등으로 두드린 후 넓게 펴준다. 펼친 돼지고기 등심에 모짜렐라 치즈를 얹고 돌돌 말아준다. 동그랗게 만 돼지고기 등심에 밀가루, 달걀물, 튀김가루 순으로 튀김옷을 입힌다. 180°C로 예열한 기름에 튀긴다.",Clova AI, 
362,치킨가라아게동,"후라이드치킨, 간장, 쌀밥",끓이기,"#일식, #한끼, #음식점, #배달, #그룹",#덮밥,가츠동,닭다리살을 튀겨 밥 위에 올리고 간장소스를 끼얹은 일본식 덮밥입니다.,"닭다리살, 달걀, 양파, 쯔유, 다시마육수, 가쓰오부시, 실파, 마요네즈, 김가루, 밥, 튀김가루, 빵가루, 식용유","닭다리살은 힘줄을 제거하고 먹기 좋은 크기로 자른 후, 칼등으로 두드려 부드럽게 한다. 볼에 달걀, 쯔유, 다시마육수, 가쓰오부시를 넣고 잘 섞는다. 닭다리살에 튀김가루, 달걀물, 빵가루 순으로 튀김옷을 입힌 후 170°C로 예열된 기름에 튀긴다. 튀긴 닭다리살은 기름기를 빼고 잠시 식힌다. 오목한 그릇에 밥을 담고, 그 위에 튀긴 닭다리살을 올린다. 가늘게 채 썬 양파를 올린 후, 만들어 둔 소스를 붓고 실파와 마요네즈, 김가루를 얹는다.",Clova AI, 
363,카레돈까스,"카레, 돈까스",튀김,"#일식, #한끼, #음식점, #배달, #그룹",#돈까스,돈까스,돈까스에 카레를 곁들여 색다른 맛을 즐길 수 있는 요리입니다.,"돼지고기 등심, 빵가루, 달걀, 밀가루, 튀김가루, 카레가루, 우스터소스, 케첩, 버터, 사과, 양파, 버섯, 브로콜리, 파프리카, 토마토, 파인애플, 올리고당, 돈가스소스, 마요네즈, 머스터드소스, 소금, 후춧가루","돼지고기 등심은 칼등으로 두드려 넓게 편 후, 소금과 후춧가루로 밑간을 한다. 사과는 씨를 제거하고 작게 깍둑썰기 하고, 양파와 버섯도 작게 깍둑썰기 한다. 브로콜리는 작은 송이로 떼어내 소금물에 데친다. 파프리카와 토마토는 사방 1cm 크기로 썬다. 깊은 팬에 버터를 녹인 후, 먼저 양파를 넣고 투명해질 때까지 볶는다. 나머지 채소들을 넣고 숨이 죽을 때까지 볶는다. 믹서기에 볶은 채소와 물을 넣고 곱게 간다. 냄비에 갈은 채소를 넣고 끓이다가 카레가루를 넣고",Clova AI, 
364,카레라이스,"카레, 밥",비빔,"#일식, #한끼, #음식점, #배달, #그룹",#덮밥,카레,양파를 오래 볶아 캐러멜라이징하여 풍미를 더한 카레라이스입니다.,"카레가루, 양파, 돼지고기, 고춧가루, 케찹, 식용유, 후추","양파는 반으로 썰어 손가락 마디 정도의 두께로 썰어 깍뚝 모양으로 썰어요. 예열된 팬에 식용유를 1/3종이컵 이상 충분히 넣어 양파를 넣어 볶아요.중불로 충분히 양파가 노릇해 질 때까지 볶아요. 양파가 노릇노릇하게 변하면 돼지고기를 넣어 같이 볶아요. 돼지고기의 색이 흰색으로 변하면 후춧가루를 약 10번 정도 뿌려요. 양파의 색이 갈색으로 변하고 기름이 나오면 고춧가루 1숟가락, 케찹 3숟가락을 넣어요. 물을 카레 봉지로 계량을 해서 1봉지 반을 넣어요(또는 4종이컵을 넣어주세요.) 물이 끓어오르면 카레 100g을 넣어 잘 풀어 완성해요.",만 개의 레시피,카레라이스
365,카레우동,"카레, 밀면",끓이기,"#일식, #한끼, #음식점, #배달, #그룹",#라멘,카레우동,"진한 향만으로도 입맛 다시게 하는 카레! 거기에 탱글한 우동면을 더한 카레우동을 내어볼게요. 쌀쌀한 날씨에 호로록 소리를 내며 먹기에 안성맞춤이랍니다. 쇠고기의 풍미를 더해 뭉근하게 끓여낸 따뜻한 한 그릇의 행복,카레우동으로 든든한 하루 보내세요.","쇠고기%200g, 우동면%200g (2팩), 양파%1/2개, 대파%1/2대, 카레가루%80g, 다진 마늘%1작은술, 버터%1큰술, 소금.후추%약간씩, 물%1리터, 다시마%1장, 멸치%10마리"," 쇠고기는 키친타올에 올려 핏물을 제거한 후 먹기 좋은 크기로 썰고, 양파는 채를 썰고, 대파는 4센치 길이로 가늘게 채를 썰어주세요.달군 냄비에 버터를 넣고 녹인 후 양파를 넣어 2분간 볶다가 쇠고기, 다진마늘을 넣고 약간의 소금과 후추를 뿌려 2분간 익혀주세요. 볶은 쇠고기에 다시마물 5컵을 넣고 국물이 끓어오르면 불을 줄여 카레가루를 두세번에 나눠 넣으며 잘 풀어주고, 10분 정도 더 끓인 후 약간의 소금과 후추로 간을 해주세요.냄비에 물이 끓으면 우동면을 넣고 2~3분 삶아 건져낸 후 찬물에 헹궈 물기를 제거해 주세요. 그릇에 우동면을 담고 카레국물을 넣은 후 채를 썬 파를 올려주세요.",우리의 식탁,카레우동
366,판모밀,"메밀면, 간장, 물",찬물에넣기,"#일식, #한끼, #음식점, #배달, #그룹",#냉면,모밀,메밀가루로 만든 국수를 시원한 장국에 적셔 먹는 일본식 메밀국수입니다.,"메밀국수, 무, 실파, 김가루, 와사비, 쯔유, 생수, 얼음","메밀국수는 끓는 물에 4분 정도 삶는다. 무는 강판에 갈아 즙을 낸다. 실파는 송송 썰고, 김은 가위로 가늘게 자른다. 살얼음이 얼 정도로 차가운 생수에 쯔유를 희석해 냉동실에 넣어둔다. 그릇에 메밀국수를 담고 갈은 무, 실파, 김가루, 와사비를 올린다. 기호에 따라 쯔유에 생수와 얼음을 넣어 먹는다.",Clova AI, 
367,하이라이스,"하이라이스소스, 밥",비빔,"#일식, #한끼, #음식점, #배달, #그룹",#덮밥,하이라이스,데미글라스 소스에 다양한 채소를 넣어 만든 일본식 덮밥입니다.,"쌀, 물, 돼지고기(등심), 감자, 양파, 하이라이스분말, 식용유(볶음용), 물","1. 쌀은 깨끗이 씻은 뒤 7시간 이상 충분히 불린 후 분량의 물을 부어 밥을 짓는다.(센불 5분,약불 7분, 불을 끄고 5분간 뜸들임)2. 돼지고기는 사방1.5cm 크기로 깍둑썰기한다.3. 감자는 사방1.5cm 크기로 깍둑썰기한다.4. 당근은 사방1.5cm 크기로 깍둑썰기한다.5. 양파는 사방1.5cm 크기로 깍둑썰기한다.[만드는 방법]6. 깍뚝썰기 한 돼지고기, 감자, 당근, 양파를 차례로 기름에 볶는다.7. 하이라이스를 약간의 물에 잘 풀어 놓는다.8. 6에 물을 붓고 한소끔 끓이다가 7의 물에 잘 푼 하이라이스를 붓고 잘 저어가며 한 번 더 끓인다.9. 밥과 8을 함께 담아낸다.사용조미료 : 식용유",팜킷,하이라이스
368,히레까스,"돼지고기, 밀가루",튀김,"#일식, #한끼, #배달",#돈까스,돈까스,안심 부위를 이용해 만든 일본식 돈까스입니다.,"돼지고기 안심, 빵가루, 달걀, 밀가루, 튀김가루, 식용유, 돈가스소스, 마요네즈, 겨자, 양상추, 방울토마토, 어린잎채소, 베이비채소","돼지고기 안심은 칼등으로 두드려 넓게 편 후, 칼끝으로 콕콕 찔러 힘줄을 끊어준다. 쟁반에 랩을 깔고 돼지고기 안심을 올린 후, 다시 랩을 덮고 손바닥으로 눌러가며 모양을 잡는다. 밀대로 밀어 두께를 고르게 하고, 가운데 부분을 손가락으로 꾹꾹 눌러준다. 넓적한 접시에 밀가루, 달걀물, 빵가루를 각각 담아놓는다. 돼지고기 안심에 밀가루-달걀물-빵가루 순으로 튀김옷을 입힌 후, 180°C로 예열한 기름에 튀긴다. 튀긴 돈까스는 종이호일에 올려 기름기를 뺀다. 접시에 샐러드 채소와 방울토마토, 어린잎채소, 베이비채소를 담고, 돈가스를 먹기 좋은",Clova AI, 
369,양꼬치,"양고기, 소금",구이,"#아시안, #요리, #음식점, #저녁",#석쇠구이,양꼬치,양고기는 칼로리가 낮고 콜레스테롤이 적어 다이어트에 좋은 식품입니다.,"양고기, 쯔란, 큐민, 고춧가루, 참깨, 땅콩가루, 올리브오일, 꼬치",양고기는 기름기를 제거하고 살코기 부분만 포를 떠서 준비한다. 꼬치에 양고기를 꽂는다. 프라이팬에 올리브오일을 두르고 양꼬치를 올린 후 약한 불에서 천천히 돌려가며 굽는다. 한쪽 면이 익으면 뒤집어서 다른 면도 익혀주세요. 익은 양꼬치는 꺼내어 잠시 식혔다가 다시 한번 구워서 먹는다.,Clova AI, 
370,마라탕,"채소류, 소고기, 버섯, 돼지고기, 소고기육수, 고추가루",끓이기,"#아시안, #한끼, #음식점, #배달, #그룹",#아시안,마라,"중국에서 가장 매운 음식으로 손꼽히는 마라탕이 한국에서도 큰 인기를 끌고 있죠? 여러 가지 재료가 들어가는 마라탕은 맵고 얼큰한 맛이 특징이지만 땅콩버터를 넣으면 구수한 맛이 더해집니다. 
빵과 곁들여도 좋으니 취향껏 색다르게 즐겨보세요!","마라소스%110g, 물%380ml, 사골국물%350ml, 팽이버섯%30g, 느타리버섯%30g, 표고버섯%2개, 소고기 샤브용%150g, 감자%1개, 청경채%20g, 오징어%110g, 새우%100g, 납작당면%80g, 땅콩버터%1큰술, 다진 마늘%½큰술"," 팽이버섯, 느타리버섯은 잘 씻어 밑동을 자르고 표고버섯은 1cm 두께로 슬라이스 해주세요. 감자는 껍질을 벗기고 1cm 두께로 슬라이스한 뒤 2등분 하고 청경채는 잘 씻어서 다듬어주세요. 오징어는1.5cm 두께로 썰고 새우는 머리와 꼬리를 제거하고 껍질을 벗겨주세요. 냄비에 물, 사골국물을 넣고 납작당면을 넣어 5분 정도 끓여주세요. 순서 4의 냄비에 마라소스를 넣고 1분 정도 더 끓여주세요. 팽이버섯, 느타리버섯, 표고버섯, 감자, 청경채를 넣고 3분 정도 끓여주세요. 오징어, 새우, 소고기를 넣고 30초 정도 끓여주세요. 땅콩버터, 마늘을 넣고 2분 정도 더 끓여주세요. 갖가지 재료와 얼얼한 매운맛을 음미하며 맛있게 즐기세요.",우리의 식탁,마라탕
371,분짜,"쌀면, 돼지고기, 간장",찬물에넣기,"#아시안, #한끼, #음식점, #배달, #그룹",#아시안,쌀국수,"‘분’은 쌀국수면, ‘짜’는 숯불에 구운 돼지고기 완자를 뜻하는 베트남 요리 분짜! 우리 입맛에는 조금 생소한 맛의 소스에 야채와 쌀국수, 돼지고기를 적셔 먹는데요~ 먹을수록 그 매력에 빠져든답니다. 아내의 식탁 레시피로 집에서도 풍성하게 분짜를 만들어보세요!","쌀국수면%100g, 삼겹살%250g(2줄), 양파%1/4개, 양상추%4장, 어린잎채소%한줌, 당근%1/2개, 라임%1/2개, 쪽파%1줄기, 고수%약간, 땅콩가루%약간, 피쉬소스%1/2큰술, 다진마늘%1작은술, 설탕%1큰술, 간장%1/2큰술, 레몬즙%1작은술, 맛술%1큰술, 물%1컵, 피쉬소스%1큰술, 설탕%2큰술, 식초%1큰술, 레몬즙%1/2큰술, 다진 청양고추%1/2큰술, 다진 당근%1/2큰술"," 쌀국수면을 찬물에 20분 정도 담가두었다가 끓는 물에 30초 정도 삶은 후 찬물에 헹궈 체에 밭쳐주세요. 양파는 채썰고, 당근도 얇고 길게 채썰어주세요. 양상추는 한입 크기로 뜯고, 어린잎채소는 깨끗이 씻어 물기를 제거해주세요. 라임은 웨지모양으로 썰고, 쪽파는 송송 썰어주세요.(tip. 당근은 채칼을 사용하면 편하게 채썰 수 있어요.) 볼에 분짜 소스재료를 넣고 섞어주세요. 삼겹살에 고기 양념을 넣어 10분간 재워둔 후, 달군 팬에 노릇하게 굽고 먹기 좋은 크기로 잘라주세요. 완성 접시에 쌀국수 면과 고기, 야채를 보기 좋게 담고 분짜 소스와 땅콩가루, 고수를 곁들여주세요.",우리의 식탁,분짜
372,소고기쌀국수,"쌀면, 소고기, 소고기육수, 간장",끓이기,"#아시안, #한끼, #음식점, #배달, #그룹",#아시안,쌀국수,베트남 쌀국수를 집에서도 간편하게 즐길 수 있는 요리입니다.,"쌀국수면, 양지머리, 숙주, 양파, 고수, 라임, 피시소스, 해선장, 칠리소스, 스리라차소스, 멸치육수, 다시마, 표고버섯, 대파, 팔각, 정향, 계피, 큐민, 코리앤더, 카다몸, 클로브, 넛맥, 펜넬, 바질, 오레가노, 타임, 로즈마리, 세이지, 마조람, 딜, 페페론치노, 피쉬소스, 타마린드, 팜슈거, 코코넛밀크, 달걀, 새우, 청경채, 부추, 팽이버섯, 새송이버섯, 느타리버섯, 목이버섯, 느억맘소스, 땅콩버터, 올리브오일, 버터, 다진마늘, 올리고당, 소금, 후춧가루","쌀국수면은 찬물에 30분 정도 불린다. 냄비에 물을 붓고 양지머리, 대파, 양파, 마른고추, 통후추, 월계수잎",Clova AI, 
373,양지쌀국수,"쌀면, 소고기, 소고기육수, 간장",끓이기,"#아시안, #한끼, #음식점, #배달, #그룹",#아시안,쌀국수,베트남식 쌀국수인 양지쌀국수입니다.,"쌀국수면, 소고기양지, 숙주, 양파, 고수, 청양고추, 홍고추, 라임, 해선장, 스리라차소스, 칠리소스","쌀국수면은 찬물에 30분 정도 불린다. 숙주는 꼬리를 떼고 깨끗하게 씻고, 양파는 가늘게 채 썬다. 청양고추와 홍고추는 송송 썰고, 고수는 잎만 떼어놓는다. 냄비에 물을 붓고 끓으면 양지를 넣고 40분 정도 삶는다. 삶은 양지를 결대로 찢어놓고, 육수는 면보에 걸러 기름기를 제거한다. 냄비에 육수를 붓고 끓이다가 불린 쌀국수면을 넣고 4~5분 정도 끓인다. 그릇에 쌀국수면을 담고 숙주, 양파, 고수, 청양고추, 홍고추, 라임, 해선장, 스리라차소스, 칠리소스를 곁들인다.",Clova AI, 
374,팟타이,"쌀면, 땅콩, 간장, 돼지고기",볶음,"#아시안, #한끼, #음식점, #배달, #그룹",#아시안,쌀국수,태국식 볶음 쌀국수입니다.,"쌀국수, 새우, 달걀, 숙주, 부추, 땅콩가루, 라임, 고수, 피시소스, 칠리소스, 굴소스, 설탕, 액젓, 다진마늘, 타마린드주스, 팜슈가, 카놀라유, 멸치액젓, 진간장, 올리고당, 굵은소금, 흰후추","쌀국수는 찬물에 30분 정도 불려놓는다. 새우는 머리와 껍질을 제거하고 꼬리만 남겨놓고 몸통 부분만 사용한다. 숙주는 씻어서 물기를 빼고, 부추는 4cm 길이로 썬다. 달걀은 스크램블 에그를 만들어 둔다. 웍에 카놀라유를 두르고 다진마늘을 넣어 볶다가 향이 나면 새우를 넣고 볶는다. 새우가 익으면 한쪽으로 밀어두고 빈 공간에 달걀스크램블을 넣는다. 달걀이 익으면 쌀국수면과 숙주, 부추를 넣고 재빨리 볶는다. 이때 피시소스, 칠리소스, 굴소스, 설탕, 액젓, 타마린드주스,",Clova AI, 
375,함박스테이크,"다진돼지고기, 간장, 설탕",후라이팬구이,"#서양식, #한끼, #음식점, #배달, #그룹",#스테이크,함박스테이크,"부드럽고 풍부한 풍미에 저절로 함박 웃음을 짓게 만들어주는 함박스테이크! 정성이 담겨 온 가족이 맛있게 먹을 수 있는 메뉴로, 특별한 날을 빛내주는 요리로 활용 가능하답니다. 수제 함박스테이크로 푸짐한 식탁을 만들어보세요~","다진 쇠고기%150g, 다진 돼지고기%150g, 양파%1개, 양송이버섯%3개, 버터%1큰술, 올리브유%약간, 빵가루%1/2컵, 달걀%1개, 케첩%1큰술, 머스터드소스%1/2큰술, 다진마늘%1작은술, 소금%1/2작은술, 후추%약간, 물%1/2컵, 돈가스소스%3큰술, 케첩%2큰술, 소금%약간, 후추%약간"," 양송이는 편으로 썰고, 양파의 반은 채를 썰고 반은 다져서 준비해주세요. 달군 팬에 약간의 올리브유를 두르고, 다진양파를 넣은 후 약간의 소금, 후추로 밑간하여 볶아 식혀주세요. 볶은 양파는 고기양념 재료와 섞어 충분히 치대고, 4등분하여 둥글게 빚고 가운데 부분을 살짝 납작하게 눌러주세요.(Tip. 비닐 장갑에 기름을 묻힌 후 모양을 잡으면, 반죽이 달라 붙지 않아 모양을 매끈하게 만들 수 있어요.) 달군 팬에 기름을 두른 후 중불에서 양쪽 겉면을 노릇하게 익히고, 약불에서 팬의 뚜껑을 닫고 은근히 속까지 익혀주세요. 달군 팬에 버터를 넣고, 양파채와 양송이를 넣은 후 2분간 볶다가 소스재료를 넣어 끓여주세요. 접시에 함박스테이크를 담고 소스를 올린 후 곁들임 채소를 담아주세요.(기호에 따라 반숙 달걀후라이를 얹어 드셔도 맛있답니다.)",우리의 식탁,함박스테이크
